cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_451001-451512.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_451601-452112.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_452201-452712.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_452801-453312.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_453401-453912.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_454001-454512.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_454601-455112.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_455201-455712.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_455801-456312.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_456401-456912.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_457001-457512.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_457601-458112.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_458201-458712.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_458801-459312.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_459401-459912.nc
cmip5.output1.CMCC.CMCC-CESM.piControl,mon,atmos,Amon,r1i1p1,v20170725,pr,_CMCC-CESM_piControl_r1i1p1_460001-460012.nc
cmip5.output1.CMCC.CMCC-CM.piControl,mon,atmos,Amon,r1i1p1,v20121008,pr,_CMCC-CM_piControl_r1i1p1_155001-155912.nc
cmip5.output1.CMCC.CMCC-CM.piControl,mon,atmos,Amon,r1i1p1,v20121008,pr,_CMCC-CM_piControl_r1i1p1_156001-156912.nc
cmip5.output1.CMCC.CMCC-CM.piControl,mon,atmos,Amon,r1i1p1,v20121008,pr,_CMCC-CM_piControl_r1i1p1_157001-157912.nc
cmip5.output1.CMCC.CMCC-CM.piControl,mon,atmos,Amon,r1i1p1,v20121008,pr,_CMCC-CM_piControl_r1i1p1_158001-158912.nc
cmip5.output1.CMCC.CMCC-CM.piControl,mon,atmos,Amon,r1i1p1,v20121008,pr,_CMCC-CM_piControl_r1i1p1_159001-159912.nc
cmip5.output1.CMCC.CMCC-CM.piControl,mon,atmos,Amon,r1i1p1,v20121008,pr,_CMCC-CM_piControl_r1i1p1_160001-160912.nc
cmip5.output1.CMCC.CMCC-CM.piControl,mon,atmos,Amon,r1i1p1,v20121008,pr,_CMCC-CM_piControl_r1i1p1_161001-161912.nc
cmip5.output1.CMCC.CMCC-CM.piControl,mon,atmos,Amon,r1i1p1,v20121008,pr,_CMCC-CM_piControl_r1i1p1_162001-162912.nc
cmip5.output1.CMCC.CMCC-CM.piControl,mon,atmos,Amon,r1i1p1,v20121008,pr,_CMCC-CM_piControl_r1i1p1_163001-163912.nc
cmip5.output1.CMCC.CMCC-CM.piControl,mon,atmos,Amon,r1i1p1,v20121008,pr,_CMCC-CM_piControl_r1i1p1_164001-164912.nc
cmip5.output1.CMCC.CMCC-CM.piControl,mon,atmos,Amon,r1i1p1,v20121008,pr,_CMCC-CM_piControl_r1i1p1_165001-165912.nc
cmip5.output1.CMCC.CMCC-CM.piControl,mon,atmos,Amon,r1i1p1,v20121008,pr,_CMCC-CM_piControl_r1i1p1_166001-166912.nc
